sepal length,sepal width,petal length,petal width,iris class
4.9,2.5,4.5,1.7,Iris-virginica
6.8,3.2,5.9,2.3,Iris-virginica
6.4,3.2,4.5,1.5,Iris-versicolor
6,2.2,5,1.5,Iris-virginica
5.8,4,1.2,0.2,Iris-setosa
5.2,2.7,3.9,1.4,Iris-versicolor
5.1,3.8,1.9,0.4,Iris-setosa
4.9,2.4,3.3,1,Iris-versicolor
6.2,2.2,4.5,1.5,Iris-versicolor
6.3,2.5,5,1.9,Iris-virginica
5.4,3.4,1.5,0.4,Iris-setosa
5,2.3,3.3,1,Iris-versicolor
6.3,3.4,5.6,2.4,Iris-virginica
4.9,3,1.4,0.2,Iris-setosa
5.5,2.3,4,1.3,Iris-versicolor
